title,author,gender,birth_year,age,language,first_published,sales,genres
And Then There Were None,Agatha Christie,F,1890,49,English,1939,100,"['Classics', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Mystery']"
The Plague (La Peste),Albert Camus,M,1913,34,French,1947,12,"['Fiction', 'Classics', 'Philosophy', 'France', 'Literature', 'French Literature', 'Novels']"
The Stranger (L'Étranger),Albert Camus,M,1913,29,French,1942,10,"['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature']"
The Joy of Sex,Alex Comfort,M,1920,52,English,1972,10,"['Nonfiction', 'Sexuality', 'Relationships', 'Self Help', 'Reference', 'Erotica', 'Psychology']"
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,M,1901,44,Russian,1945,26,"['Russia', 'Fiction', 'Russian Literature', 'Historical Fiction', 'War', 'Classics', 'World War II', 'Novels', 'Unfinished', 'Childrens']"
The Lovely Bones,Alice Sebold,F,1963,39,English,2002,10,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Thriller']"
Diana: Her True Story,Andrew Morton,M,1953,39,English,1992,10,"['Biography', 'Nonfiction', 'History', 'Memoir', 'Biography Memoir', 'Autobiography', 'British Literature', 'Historical', 'Mental Health']"
Black Beauty,Anna Sewell,F,1820,57,English,1877,50,"['Classics', 'Fiction', 'Childrens', 'Animals', 'Young Adult', 'Horses', 'Historical Fiction']"
The Diary of Anne Frank (Het Achterhuis),Anne Frank,F,1929,18,Dutch,1947,35,"['Classics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical', 'Holocaust']"
All the Light We Cannot See,Anthony Doerr,M,1973,41,English,2014,15.3,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Audiobook', 'Adult']"
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,M,1900,43,French,1943,200,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']"
What to Expect When You're Expecting,Arlene Eisenberg,F,1934,50,English,1984,20,"['Parenting', 'Nonfiction', 'Self Help', 'Health', 'Reference', 'Family', 'Adult']"
What to Expect When You're Expecting,Heidi Murkoff,F,1958,26,English,1984,20,"['Parenting', 'Nonfiction', 'Self Help', 'Health', 'Reference', 'Family', 'Adult']"
"Ronia, the Robber's Daughter",Astrid Lindgren,F,1907,74,Swedish,1981,10,"['Fantasy', 'Childrens', 'Classics', 'Fiction', 'Swedish Literature', 'Middle Grade', 'Adventure']"
Kitchen (キッチン),Banana Yoshimoto,F,1964,24,Japanese,1988,20,"['Fiction', 'Japan', 'Japanese Literature', 'Contemporary', 'Short Stories', 'Asia', 'Asian Literature']"
The Tale of Peter Rabbit,Beatrix Potter,F,1866,36,English,1902,45,"['Childrens', 'Classics', 'Picture Books', 'Fiction', 'Animals', 'Fantasy', 'Short Stories']"
The Common Sense Book of Baby and Child Care,Benjamin Spock,M,1903,43,English,1946,50,"['Parenting', 'Nonfiction', 'Self Help', 'Health', 'Reference', 'Psycology', 'Classics', 'Childrens', 'Education', 'Personal Development']"
Alcoholics Anonymous Big Book,Bill Wilson,M,1895,44,English,1939,30,"['Self Help', 'Nonfiction', 'Psychology', 'Reference', 'Spirituality', 'Health', 'Religion']"
"The Lion, the Witch and the Wardrobe",C. S. Lewis,M,1898,52,English,1950,85,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure']"
Dream of the Red Chamber (紅樓夢),Cao Xueqin,M,1710,81,Chinese,1791,100,"['Classics', 'Fiction', 'China', 'Literature', 'Historical Fiction', 'Asia', 'Chinese Literature']"
Cosmos,Carl Sagan,M,1934,46,English,1980,40,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'History', 'Space', 'Philosophy']"
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,M,1826,55,Italian,1881,35,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'Italian Literature', 'Italy', 'Adventure']"
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,M,1964,37,Spanish,2001,15,"['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy', 'Books About Books', 'Historical', 'Spain']"
The Bermuda Triangle,Charles Berlitz,M,1914,60,English,1974,20,"['Nonfiction', 'History', 'Paranormal', 'Mystery', 'Science', 'Historical', 'Classics', 'Esoterica', '20thCentury', 'Biography']"
A Tale of Two Cities,Charles Dickens,M,1812,47,English,1859,200,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School']"
Things Fall Apart ,Chinua Achebe,M,1930,28,English,1958,20,"['Fiction', 'Classics', 'Historical Fiction', 'Africa', 'School', 'Literature', 'Nigeria']"
The Thorn Birds,Colleen McCullough,F,1937,40,English,1977,33,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Australia', 'Historical', 'Historical Romance']"
How to Win Friends and Influence People,Dale Carnegie,M,1888,48,English,1936,30,"['Self Help', 'Nonfiction', 'Business', 'Personal Development', 'Psychology', 'Leadership', 'Communication']"
The Da Vinci Code,Dan Brown,M,1964,39,English,2003,80,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']"
Angels & Demons,Dan Brown,M,1964,36,English,2000,39,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Crime']"
The Lost Symbol,Dan Brown,M,1964,45,English,2009,30,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Historical Fiction']"
The Divine Comedy (La Divina Commedia),Dante Alighieri,M,1265,39,Italian,1304,11.5,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Philosophy', 'Religion', 'Fantasy']"
Rebecca,Daphne du Maurier,F,1907,31,English,1938,30,"['Classics', 'Fiction', 'Mystery', 'Gothic', 'Romance', 'Historical Fiction', 'Thriller']"
Where the Crawdads Sing,Delia Owens,F,1949,69,English,2018,18,"['Fiction', 'Historical Fiction', 'Mystery', 'Audiobook', 'Romance', 'Adult', 'Contemporary']"
The Naked Ape,Desmond Morris,M,1928,40,English,1968,20,"['Science', 'Nonfiction', 'Anthropology', 'Psychology', 'Biology', 'Evolution', 'Sociology']"
The Hitchhiker's Guide to the Galaxy,Douglas Adams,M,1952,27,English,1979,14,"['Science Fiction', 'Fiction', 'Humor', 'Classics', 'Fantasy', 'Comedy', 'Science Fiction Fantasy']"
The Cat in the Hat,Dr. Seuss,M,1904,53,English,1957,10.5,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']"
Charlotte's Web,E. B. White,M,1899,53,English,1952,50,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Animals', 'Middle Grade', 'Classic Literature']"
Fifty Shades of Grey,E. L. James,F,1963,48,English,2011,15.2,"['Romance', 'Fiction', 'Erotica', 'Adult', 'BDSM', 'Contemporary', 'Contemporary Romance']"
Fifty Shades Darker,E. L. James,F,1963,49,English,2012,10.4,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance']"
A Message to Garcia,Elbert Hubbard,M,1856,43,English,1899,40,"['Military Fiction', 'Leadership', 'Fiction', 'Classics', 'Philosophy', 'Business', 'War', 'Self Help', 'Essays', 'Personal Development']"
Night (Un di Velt Hot Geshvign),Elie Wiesel,M,1928,30,Yiddish,1958,10,"['Nonfiction', 'Classics', 'History', 'Memoir', 'Holocaust', 'Biography', 'School']"
The Goal,Eliyahu M. Goldratt,M,1947,37,English,1984,10,"['Business', 'Nonfiction', 'Management', 'Leadership', 'Self Help', 'Buisness', 'Productivity']"
The Very Hungry Caterpillar,Eric Carle,M,1929,40,English,1969,43,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Animals', 'Food', 'Counting']"
Fear of Flying,Erica Jong,F,1942,31,English,1973,20,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Historical', 'Literature', 'School']"
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,M,1898,31,German,1929,20,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Historical', 'Literature', 'School']"
Love Story,Erich Segal,M,1937,33,English,1970,21,"['Romance', 'Fiction', 'Classics', 'Contemporary', 'Chick Lit', 'Love', 'Novels']"
The Old Man and the Sea,Ernest Hemingway,M,1899,53,English,1952,13,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure']"
God's Little Acre,Erskine Caldwell,M,1903,30,English,1933,14,"['Fiction', 'Classics', 'Southern', 'Literature', 'Histirical Fiction', 'American', 'Southern Gothic', 'Novels', 'Gothic', 'Banned Books']"
Tobacco Road,Erskine Caldwell,M,1903,29,English,1932,10,"['Fiction', 'Classics', 'Southern', 'Literature', 'Histirical Fiction', 'American', 'Southern Gothic', 'Novels', 'Historical', 'The United States of America']"
The Great Gatsby,F. Scott Fitzgerald,M,1896,29,English,1925,30,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Romance', 'Novels']"
Dune,Frank Herbert,M,1920,45,English,1965,20,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Audiobook', 'Space Opera']"
Angela's Ashes,Frank McCourt,M,1930,66,English,1996,10,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Ireland', 'Autobiography', 'Biography Memoir']"
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,M,1927,40,Spanish,1967,50,"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction']"
Nineteen Eighty-Four,George Orwell,M,1903,46,English,1949,30,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics']"
Animal Farm ,George Orwell,M,1903,42,English,1945,20,"['Classics', 'Fiction', 'Dystopia', 'Literature', 'Science Fiction', 'Politics', 'Fantasy']"
Gone Girl,Gillian Flynn,F,1971,41,English,2012,20,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary']"
Peyton Place ,Grace Metalious,F,1924,32,English,1956,12.1,"['Fiction', 'Classics', 'Romance', 'Banned Books', 'Historical Fiction', 'Novels', 'Chick Lit']"
She: A History of Adventure,H. Rider Haggard,M,1856,31,English,1887,83,"['Classics', 'Fantasy', 'Fiction', 'Adventure', 'Africa', '19th Century', 'Historical Fiction', 'Victorian', 'Novels', 'Science Fiction']"
To Kill a Mockingbird,Harper Lee,F,1926,34,English,1960,40,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']"
Norwegian Wood (ノルウェイの森),Haruki Murakami,M,1949,38,Japanese,1987,12,"['Fiction', 'Romance', 'Japan', 'Contemporary', 'Japanese Literature', 'Novels', 'Classics']"
Bridget Jones's Diary,Helen Fielding,F,1958,38,English,1996,10,"['Fiction', 'Chick Lit', 'Romance', 'Humor', 'Contemporary', 'Comedy', 'Adult']"
Lust for Life,Irving Stone,M,1903,31,English,1934,25,"['Historical Fiction', 'Art', 'Fiction', 'Classics', 'Historical', 'Literature', 'Novels']"
Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,M,1908,49,Russian,1957,20,"['Science Fiction', 'Fiction', 'Russion Literature', 'Russia', 'Speculative Fiction', 'Space', 'Novels', 'Adventure', 'Science Fiction Fantasy']"
The Catcher in the Rye,J. D. Salinger,M,1919,32,English,1951,65,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age']"
Harry Potter and the Philosopher's Stone,J. K. Rowling,F,1965,32,English,1997,120,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Classics']"
Harry Potter and the Chamber of Secrets,J. K. Rowling,F,1965,33,English,1998,77,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,F,1965,34,English,1999,65,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
Harry Potter and the Goblet of Fire,J. K. Rowling,F,1965,35,English,2000,65,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']"
Harry Potter and the Order of the Phoenix,J. K. Rowling,F,1965,38,English,2003,65,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure']"
Harry Potter and the Half-Blood Prince,J. K. Rowling,F,1965,40,English,2005,65,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']"
Harry Potter and the Deathly Hallows,J. K. Rowling,F,1965,42,English,2007,65,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']"
The Ginger Man,J. P. Donleavy,M,1926,29,English,1955,50,"['Fiction', 'Classics', 'Humor', 'Ireland', 'Literature', 'Irish Literature', 'Novels', 'American', 'Literary Fiction', 'Comedy']"
The Hobbit,J. R. R. Tolkien,M,1892,45,English,1937,100,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'Science Fiction Fantasy', 'High Fantasy']"
The Eagle Has Landed,Jack Higgins,M,1929,46,English,1975,50,"['Fiction', 'Thriller', 'Historical Fiction', 'War', 'Espionage', 'Adventure', 'World War II', 'Mystery', 'Military Fiction', 'Historical']"
Valley of the Dolls,Jacqueline Susann,F,1918,48,English,1966,31,"['Fiction', 'Classics', 'Chick Lit', 'Romance', 'Contemporary', 'Novels', 'Adult']"
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,M,1737,51,French,1788,25,"['Classics', 'Fiction', 'Novels', 'France', 'Romance', 'French Literature', '18th Century', 'Literature', 'Roman', 'Romanticism']"
Shōgun,James Clavell,M,1921,54,English,1975,15,"['Historical Fiction', 'Fiction', 'Japan', 'Historical', 'Classics', 'Adventure', 'Asia']"
The Celestine Prophecy,James Redfield,M,1950,43,English,1993,23,"['Fiction', 'Spirituality', 'Philosophy', 'Self Help', 'New Age', 'Fantasy', 'Religion']"
Pride and Prejudice,Jane Austen,F,1775,38,English,1813,20,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'British Literature', 'Novels']"
The Poky Little Puppy,Janette Sebring Lowrey,F,1892,50,English,1942,15,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Animals', 'Dogs', 'Kids']"
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,M,1883,40,Czech,1923,20,"['Fiction', 'Classics', 'Czech Literature', 'Humor', 'War', 'Historical Fiction', 'Literature']"
Kane and Abel,Jeffrey Archer,M,1940,39,English,1979,37,"['Fiction', 'Historical Fiction', 'Thriller', 'Drama', 'Classics', 'Historical', 'Novels']"
Interpreter of Maladies,Jhumpa Lahiri,F,1967,33,English,2000,15,"['Short Stories', 'Fiction', 'India', 'Contemporary', 'Literary Fiction', 'Literature', 'Indian Literature']"
Wolf Totem (狼图腾),Jiang Rong,M,1946,58,Chinese,2004,20,"['Fiction', 'China', 'Historical Fiction', 'Asia', 'Chinese Literature', 'Novels', 'Animals']"
